Country,Region,Code,BoysH1900,BoysH1980,GirlsH1900,GirlsH1980,Happiness,LifeExpectancy,Footprint,GDPperCapita,Population2010,Population2020,Density,LandArea,FertRate,MedianAge,UrbanPop,WorldShare,BeerServ,SpiritServ,WineServ,TotalVacc,PeopleVacc,PeopleFullyVac,PeopleVacc_per100
New Zealand,Oceania,NZL,167.9514878,177.8914415,156.3049873,164.7879781,7.8,79.8,7.7,24996,4.13,4.814272,18,263310,1.9,38,87,0.06,3.903846154,1.519230769,3.365384615,11985710,4301076,82.95,79.85
Nicaragua,Americas,NIC,157.9417669,167.0077286,146.7941311,154.3633848,7.1,71.9,2,3674,5.46,6.608366,55,120340,2.4,26,57,0.08,1.5,2.269230769,0.019230769,12254393,6232288,89.69,86.67
Niger,Africa,NER,164.3101079,170.9343895,156.6993026,160.3176978,3.8,55.8,1.6,781,13.26,24.014064,19,1266700,7,15,17,0.31,0.057692308,0.038461538,0.019230769,7241942,6124474,23.37,20.45
Nigeria,Africa,NGA,161.3811708,168.248377,153.4492488,158.3719815,4.8,46.5,1.3,1128,141.36,205.052107,226,910770,5.4,18,52,2.64,0.807692308,0.096153846,0.038461538,111985403,79248347,36.26,30.53
Niue,Oceania,NIU,168.7270106,175.5813408,152.759032,164.211765,NA,NA,NA,NA,NA,0.001624,6,260,NA,NA,46,0,3.615384615,3.846153846,0.134615385,4920,1636,83.81,83.71
North Korea,Asia,PRK,161.054864,170.1760695,149.6212122,157.9308792,NA,NA,NA,NA,NA,25.756088,214,120410,1.9,35,63,0.33,0,0,0,NA,NA,NA,NA
North Macedonia,Europe,MKD,167.0499585,178.2325115,150.451201,160.5672059,5.5,73.8,4.6,7200,2.03,2.083391,83,25220,1.5,39,59,0.03,2.038461538,0.519230769,1.653846154,1862732,854479,40.81,40.03
Norway,Europe,NOR,171.8024054,180.0249891,159.6979406,166.415379,8.1,79.8,6.9,41420,4.62,5.412632,15,365268,1.7,40,83,0.07,3.25,1.365384615,2.480769231,12145560,4346995,79.99,74.61
Oman,Asia,OMN,156.3682363,169.397051,147.3987437,157.3027717,NA,NA,NA,NA,NA,5.078933,16,309500,2.9,31,87,0.07,0.423076923,0.307692308,0.019230769,7086050,3257365,71.18,66.62
Pakistan,Asia,PAK,165.6857245,167.4356008,151.1077943,154.9045371,5.6,64.6,0.8,2370,155.77,219.9929,287,770880,3.6,23,35,2.83,0,0,0,333759565,162219717,68.79,59.04
Palau,Oceania,PLW,164.3257779,168.4049127,152.6055013,157.6646772,NA,NA,NA,NA,NA,0.018077,39,460,NA,NA,NA,0,5.884615385,1.211538462,0.442307692,NA,NA,NA,NA
Panama,Americas,PAN,157.6736844,168.6282098,145.332825,155.5992323,7.8,75.1,3.2,7605,3.23,4.300667,58,74340,2.5,30,68,0.06,5.480769231,2,0.346153846,8756680,3526529,79.99,71.88
Papua New Guinea,Oceania,PNG,159.4026814,164.4875397,150.4996371,156.2059676,NA,NA,NA,NA,NA,8.91153,20,452860,3.6,22,13,0.11,0.846153846,0.75,0.019230769,720453,373949,3.69,3.09
Paraguay,Americas,PRY,162.5520066,172.1237835,149.7807162,159.0724627,6.9,71.3,3.2,4642,5.9,7.114524,18,397300,2.4,26,62,0.09,4.096153846,2.25,1.423076923,9568675,3985466,58.78,52.23
Peru,Americas,PER,155.4331018,165.1563999,142.2386423,152.2494857,5.9,70.7,1.6,6039,27.27,32.876986,26,1280000,2.3,31,79,0.42,3.134615385,3.076923077,0.403846154,87971443,30338086,89.1,83.82
Philippines,Asia,PHL,155.2416733,162.7613,148.1825563,149.3036261,5.5,71,0.9,5137,84.57,109.280343,368,298170,2.6,26,47,1.41,1.365384615,3.576923077,0.019230769,170545638,78472659,67.91,64.06
Poland,Europe,POL,164.2982192,177.0145898,151.492678,164.2112518,6.5,75.2,4,13847,38.17,37.854825,124,306230,1.4,42,60,0.49,6.596153846,4.134615385,1.076923077,57917393,22870672,57.38,56.81
Portugal,Europe,PRT,159.402769,172.5107117,150.9322859,162.2398835,5.9,77.7,4.4,20410,10.55,10.202571,111,91590,1.3,46,66,0.13,3.730769231,1.288461538,6.519230769,28129150,9780727,95.23,86.61
Puerto Rico,Americas,PRI,161.2554094,171.9709234,148.1513292,159.323065,NA,NA,NA,NA,NA,2.874636,323,8870,1.2,44,NA,0.04,NA,NA,NA,NA,NA,NA,NA
Qatar,Asia,QAT,159.9684771,171.347584,150.9965417,159.604995,NA,NA,NA,NA,NA,2.870922,248,11610,1.9,32,96,0.04,0.019230769,0.807692308,0.134615385,7607265,2851698,105.81,105.81
Romania,Europe,ROU,164.3982129,175.3024044,151.9077656,162.789215,5.9,71.9,2.9,9060,21.63,19.262731,84,230170,1.6,43,55,0.25,5.711538462,2.346153846,3.211538462,NA,8186546,41.64,NA
Russia,Europe,RUS,167.2501063,176.435947,154.2534877,164.3138643,5.9,65,3.7,10845,143.15,145.92201,9,16376870,1.8,40,74,1.87,4.75,6.269230769,1.403846154,185755859,88407826,61.09,NA
Rwanda,Africa,RWA,160.4411977,166.1408076,152.7604785,156.7364973,4.2,45.2,0.8,1206,9.23,12.883878,525,24670,4.1,20,18,0.17,0.826923077,0.038461538,0,26106436,10572981,76.75,71.85
Saint Kitts & Nevis,Americas,KNA,161.0391391,170.1161174,153.5482264,160.6924681,NA,NA,NA,NA,NA,0.053123,205,260,NA,NA,33,0,3.730769231,3.942307692,0.615384615,NA,33794,70.88,NA
Saint Lucia,Americas,LCA,162.7417695,172.3227735,154.4819251,163.1574698,NA,NA,NA,NA,NA,0.183458,301,610,1.4,34,19,0,3.288461538,6.057692308,1.365384615,122977,60140,33.43,30.56
Samoa,Oceania,WSM,169.1601136,173.9275282,157.6016475,162.292888,NA,NA,NA,NA,NA,0.198147,70,2830,3.9,22,18,0,2.019230769,0.346153846,0.461538462,452831,191371,86.05,79.99
Sao Tome & Principe,Africa,STP,162.5275599,170.4201925,153.2755826,159.8284763,NA,NA,NA,NA,NA,0.218308,228,960,4.4,19,74,0,1.076923077,0.730769231,2.692307692,228291,127564,56.1,45.72
Saudi Arabia,Asia,SAU,158.8356646,168.8836643,149.6610678,156.3997397,7.7,72.2,2.6,15711,23.12,34.701377,16,2149690,2.3,32,84,0.45,0,0.096153846,0,68402237,27008761,74.18,69.78
Senegal,Africa,SEN,167.0000261,175.3544931,157.3366701,163.1945225,4.5,62.3,1.4,1792,11.77,16.649599,87,192530,4.7,19,49,0.21,0.173076923,0.019230769,0.134615385,2928086,2684696,15.5,8.31
Serbia,Europe,SRB,167.9520913,180.6642678,152.9269169,166.9635287,6,73.6,2.6,NA,7.44,8.744288,100,87460,1.5,42,56,0.11,5.442307692,2.519230769,2.442307692,8534688,3354075,48.81,47.71
Seychelles,Africa,SYC,165.7930962,174.8102286,155.8111705,161.9404316,NA,NA,NA,NA,NA,0.098224,214,460,2.5,34,56,0,3.019230769,0.480769231,0.980769231,220018,85825,80.11,76.29
Sierra Leone,Africa,SLE,160.923652,167.1520542,152.801325,157.7761214,3.6,41.8,0.8,806,5.59,7.942879,111,72180,4.3,19,43,0.1,0.480769231,0.057692308,0.038461538,6836192,4702952,54.65,44.81
Singapore,Asia,SGP,163.0207202,172.2672021,147.764,159.682718,7.1,79.4,4.2,29663,4.27,5.840996,8358,700,1.2,42,NA,0.08,1.153846154,0.230769231,0.211538462,NA,5160551,91.55,90.85
Slovakia,Europe,SVK,168.8701219,179.4199418,156.3377185,166.7103222,6.1,74.2,3.3,15871,5.39,5.459116,114,48088,1.5,41,54,0.07,3.769230769,5.634615385,2.230769231,5754313,2595901,46,45.68
Slovenia,Europe,SVN,167.8860427,179.3131036,153.3849798,165.5942435,7,77.4,4.5,22273,2,2.078881,103,20140,1.6,45,55,0.03,5.192307692,0.980769231,5.307692308,2996643,NA,NA,NA
Solomon Islands,Oceania,SLB,161.0842706,166.801577,149.0682329,156.0288792,NA,NA,NA,NA,NA,0.683301,25,27990,4.4,20,23,0.01,1.076923077,0.211538462,0.019230769,625956,343821,47.47,35.12
Somalia,Africa,SOM,161.8565622,168.5582643,152.2142855,157.1209079,NA,NA,NA,NA,NA,15.79802,25,627340,6.1,17,47,0.2,0,0,0,8726329,7729842,43.93,37.11
South Africa,Africa,ZAF,165.4761074,169.0917959,155.2640836,159.1992995,5,50.8,2.1,11110,46.89,59.154802,49,1213090,2.4,28,67,0.76,4.326923077,1.461538462,1.557692308,38578896,23970891,40.02,35.13
South Korea,Asia,KOR,160.2951293,173.8385056,143.2103921,160.9054876,6.3,77.9,3.7,22029,48.29,51.260395,527,97230,1.1,44,82,0.66,2.692307692,0.307692308,0.173076923,NA,44834340,86.53,85.72
Spain,Europe,ESP,162.6253387,175.6515022,151.4209403,162.6661863,7.6,80.5,5.7,27169,43.4,46.751175,94,498800,1.3,45,80,0.6,5.461538462,3.019230769,2.153846154,105522606,41343396,86.93,85.64
Sri Lanka,Asia,LKA,157.4346839,164.8764212,145.6812294,153.632489,5.4,71.6,1,4595,19.67,21.395196,341,62710,2.2,34,18,0.27,0.307692308,2,0,40116590,17143761,78.53,67.57
St. Vincent & Grenadines,Americas,VCT,162.4441435,172.5422165,151.3317895,160.8450364,NA,NA,NA,NA,NA,0.110869,284,390,1.9,33,53,0,2.307692308,4.25,0.211538462,73374,37502,36.07,30.41
State of Palestine,Asia,PSE,161.5741101,173.007951,151.4461566,159.2091352,NA,NA,NA,NA,NA,5.07628,847,6020,3.7,21,80,0.07,NA,NA,NA,3748571,2012767,38.34,33.85
Sudan,Africa,SDN,161.904456,168.5819563,152.2109624,157.1183346,4.5,57.4,2.4,2083,36.9,43.632213,25,1765048,4.4,20,35,0.56,0.153846154,0.25,0,18425870,12579213,26.84,22.49
Suriname,Americas,SUR,162.3964564,172.5002976,151.2618322,160.7974286,NA,NA,NA,NA,NA,0.585561,4,156000,2.4,29,65,0.01,2.461538462,3.423076923,0.134615385,505699,267820,43.33,38.49
Sweden,Europe,SWE,172.3229958,180.0118158,160.6127281,166.4324784,7.9,80.5,5.1,32525,9.02,10.086531,25,410340,1.9,41,88,0.13,2.923076923,1.153846154,3.576923077,25670537,7818925,74.12,72.39
Switzerland,Europe,CHE,168.0396293,177.5922921,157.916473,164.1571371,7.7,81.3,5,35633,7.44,8.641786,219,39516,1.5,43,74,0.11,3.557692308,1.923076923,5.384615385,16928821,6096224,69.75,68.79
Syria,Asia,SYR,159.9605658,171.4033982,150.1770818,158.6761021,5.9,73.6,2.1,3808,18.89,17.410293,95,183630,2.8,26,60,0.22,0.096153846,0.673076923,0.307692308,4971203,3209797,14.51,10.2
Taiwan,Asia,TWN,161.8268958,171.911003,149.8431296,159.5329892,NA,NA,NA,NA,NA,23.808164,673,35410,1.2,42,79,0.31,NA,NA,NA,67148173,21869836,91.53,86.78
Tajikistan,Asia,TJK,162.048286,171.9731253,151.5482759,158.616468,5.1,66.3,0.7,1356,6.55,9.492342,68,139960,3.6,22,27,0.12,0.038461538,0.288461538,0,18871161,5311967,53.37,51.95
Tanzania,Africa,TZA,161.2447724,167.1523836,151.3980054,156.6143888,2.4,51,1.1,744,38.48,59.368313,67,885800,4.9,18,37,0.77,0.692307692,0.115384615,0.019230769,38911619,33903098,51.76,48.48
Thailand,Asia,THA,158.8523077,166.8334174,148.5318716,155.5829922,6.3,69.6,2.1,8677,63,69.764925,137,510890,1.5,40,51,0.9,1.903846154,4.961538462,0.019230769,142635014,57005497,79.51,74.6
Timor-Leste,Asia,TLS,153.619756,160.9072587,145.3088224,151.6564548,NA,NA,NA,NA,NA,1.313184,89,14870,4.1,21,33,0.02,0.019230769,0.019230769,0.076923077,2011703,883018,65.83,59.5
Togo,Africa,TGO,163.100778,170.3666535,153.4120451,159.357039,2.6,57.8,0.8,1506,6.24,8.23758,152,54390,4.4,19,43,0.11,0.692307692,0.038461538,0.365384615,3398445,2244456,25.36,17.56
Tokelau,Oceania,TKL,168.2544351,174.9921488,155.9413995,163.1508824,NA,NA,NA,NA,NA,0.001354,136,10,NA,NA,0,0,NA,NA,NA,5374,2203,116.38,116.38
Tonga,Oceania,TON,170.6428057,177.6173285,158.2487737,166.5238191,NA,NA,NA,NA,NA,0.105449,147,720,3.6,22,24,0,0.692307692,0.403846154,0.096153846,202720,87265,81.66,72.06
Trinidad and Tobago,Americas,TTO,164.6020084,173.7630995,154.8381547,161.1503608,6.7,69.2,2.1,14603,1.32,1.398579,273,5130,1.7,36,52,0.02,3.788461538,3,0.134615385,1580898,753588,49.22,46.82
Tunisia,Africa,TUN,164.4622781,173.5310838,151.3486517,159.6236546,5.9,73.5,1.8,8371,10.03,11.793319,76,155360,2.2,33,70,0.15,0.980769231,0.057692308,0.384615385,13244353,7217958,58.42,51.79
Turkey,Asia,TUR,161.0523062,173.6567633,150.0863728,159.1726092,5.5,71.4,2.7,8407,72.07,84.15325,110,769630,2.1,32,76,1.08,0.980769231,0.423076923,0.134615385,152543341,57941051,67.89,62.31
Turkmenistan,Asia,TKM,162.3649445,172.6600556,153.5118155,162.5241397,NA,NA,NA,NA,NA,6.01285,13,469930,2.8,27,53,0.08,0.365384615,1.365384615,0.615384615,8286809,3728004,57.97,57.37
Tuvalu,Oceania,TUV,165.545626,170.2130308,157.0076628,159.2893724,NA,NA,NA,NA,NA,0.011762,393,30,NA,NA,62,0,0.115384615,0.788461538,0.173076923,25591,9603,84.72,82.24
Uganda,Africa,UGA,162.6945097,168.4825141,154.0799228,158.2803323,4.5,49.7,1.4,1454,28.95,45.427637,229,199810,5,17,26,0.59,0.865384615,0.173076923,0,26299538,19488104,41.25,27.56
Ukraine,Europe,UKR,168.0730086,177.9280234,154.6728026,165.5306885,5.3,67.7,2.7,6848,47.11,43.785122,75,579320,1.4,41,69,0.56,3.961538462,4.557692308,0.865384615,31668577,15774300,39.73,38.17
United Arab Emirates,Asia,ARE,160.0197709,171.4031673,150.1761733,158.7005145,7.2,78.3,9.5,25514,4.1,9.865845,118,83600,1.4,33,86,0.13,0.307692308,2.596153846,0.096153846,24922054,9991089,105.83,103.72
United Kingdom,Europe,GBR,167.3705933,177.6049462,154.0074689,163.8121012,7.4,79,5.3,33238,60.23,67.814098,281,241930,1.8,40,83,0.87,4.211538462,2.423076923,3.75,NA,53813491,79.71,75.19
Uruguay,Americas,URY,164.3637319,173.3309155,150.2994296,161.2438152,6.8,75.9,5.5,9962,3.31,3.471314,20,175020,2,36,96,0.04,2.211538462,0.673076923,4.230769231,8945311,3006581,87.84,84.7
US,Americas,USA,171.4821139,177.5316749,158.7379826,163.8395878,7.9,77.9,9.4,41890,296.51,330.61057,36,9147420,1.8,38,83,4.25,4.788461538,3.038461538,1.615384615,672076105,269554116,81.19,69.3
Uzbekistan,Asia,UZB,161.8269963,170.6421811,151.5282172,158.9971999,6,66.8,1.8,2063,26.17,33.368859,79,425400,2.4,28,50,0.43,0.480769231,1.942307692,0.153846154,74976351,21674823,62.59,52.27
Vanuatu,Oceania,VUT,163.7316199,168.8134723,153.3183146,159.3111151,NA,NA,NA,NA,NA,0.305623,25,12190,3.8,21,24,0,0.403846154,0.346153846,0.211538462,366638,176624,54.06,49.66
Venezuela,Americas,VEN,160.5792486,171.038454,145.5750126,156.9749123,6.9,73.2,2.8,6632,26.58,28.451828,32,882050,2.3,30,NA,0.36,6.403846154,1.923076923,0.057692308,37860994,22157232,78.29,NA
Vietnam,Asia,VNM,155.8120892,163.3332918,145.2478534,153.2721378,6.5,73.7,1.3,3071,83.1,97.160127,314,310070,2.1,32,38,1.25,2.134615385,0.038461538,0.019230769,266252632,90466947,92.14,87.52
Yemen,Asia,YEM,155.3176109,163.5200395,145.7432473,154.822798,5.2,61.5,0.9,930,21.1,29.687214,56,527970,3.8,20,38,0.38,0.115384615,0,0,1256288,1017116,3.02,2.29
Zambia,Africa,ZMB,162.6621821,169.0184015,152.0974988,157.7566101,4.3,40.5,0.8,1023,11.48,18.273379,25,743390,4.7,18,45,0.24,0.615384615,0.365384615,0.076923077,12722857,NA,NA,43.38
Zimbabwe,Africa,ZWE,165.1119828,171.0923586,155.7651977,159.6740582,2.8,40.9,1.1,2038,13.12,14.818157,38,386850,3.6,19,38,0.19,1.230769231,0.346153846,0.076923077,12222754,6437808,39.45,29.11
